variable_name,variable_description,months,variable_type
childNegativeFreePlayChildPres,"Child Negative Free Play - Other Child Present?  0=no,1=yes","30,36,42,54",numeric
childNegativeFreePlayNegativeAffect,Weighted Summary of Free Play variables:childNegativeFreePlayNoNegativeP*0 + childNegativeFreePlayNegativeP*1 + childNegativeFreePlayHiNegativeP*2,"30,36,42,54",
childNegativeFreePlayNoNegativeP,Number of intervals with no negative affect/free play intervals,"30,36,42,54",
childNegativeFreePlayNegativeP,Number of intervals with negative affect/free play intervals,"30,36,42,54",
childNegativeFreePlayHiNegativeP,Number of intervals with high negative affect/free play intervals,"30,36,42,54",
childNegativePhoneCallChildPres,"Child Negative Phone Call - Other Child Pressent? 0=no,1=yes","30,36,42,54",numeric,
childNegativePhoneCallNegativeAffect,Weighed summary of Phone Call variables: childNegativePhoneCallNoNegativeP*0+childNegativePhoneCallNegativeP*1+childNegativePhoneCallHiNegativeP*2,"30,36,42,54",,
childNegativePhoneCallNoNegativeP,Number of intervals with no negative affect/phone call intervals,"30,36,42,54",,
childNegativePhoneCallNegativeP,Number of intervals with negative affect/phone call intervals,"30,36,42,54",,
childNegativePhoneCallHiNegativeP,Number of intervals with high negative affect/phone call intervals,"30,36,42,54",,
childNegativeToyCleanupChildPres,"Child Negative Toy Cleanup- Other Child Pressent? 0=no,1=yes","30,36,42,54",numeric,
childNegativeToyCleanUpNegativeAffect,Weighed summary of Toy Cleanup variables: childNegativeToyCleanUpNoNegativeP*0 + NegativeP*1 + HiNegative*2,"30,36,42,54",,
childNegativeToyCleanUpNoNegativeP,Number of intervals with no negative affect/toy cleanup intervals,"30,36,42,54",,
childNegativeToyCleanUpNegativeP,Number of intervals with negative affect/toy cleanup intervals,"30,36,42,54",,
childNegativeToyCleanUpHiNegativeP,Number of intervals with high negative affect/toy cleanup intervals,"30,36,42,54",,
childNegativeToyProhibitionChildPres,"Child Negative Toy Prohibition - Other Child Pressent? 0=no,1=yes","30,36,42,54",numeric,
childNegativeToyProhibitionNegativeAffect,Weighed summary of Toy Prohibition variables: childNegativeToyProhibitionUpNoNegativeP*0 + childNegativeToyProhibitionNegativeP*1 + childNegativeToyProhibitionHiNegativeP*2,"30,36,42,54",,
childNegativeToyProhibitionNoNegativeP,Number of intervals with no negative affect/toy prohibition intervals,"30,36,42,54",,
childNegativeToyProhibitionNegativeP,Number of intervals with negative affect/toy prohibition intervals,"30,36,42,54",,
childNegativeToyProhibitionHiNegativeP,Number of intervals with high negative affect/toy prohibition intervals,"30,36,42,54",,